Tarih_x,Saat_x,Rüzgar,Güneş,Tarih_Saat,Tarih_y,Saat_y,PTF,Toplam_Uretim
2025-01-01 00:00:00,00:00,13.13,0.0,2025-01-01 00:00:00,2025-01-01 00:00:00,00:00,2494.0,32663.63
2025-01-01 01:00:00,01:00,5.79,0.0,2025-01-01 01:00:00,2025-01-01 01:00:00,01:00,1799.98,31147.31
2025-01-01 02:00:00,02:00,2.06,0.0,2025-01-01 02:00:00,2025-01-01 02:00:00,02:00,1692.99,29622.41
2025-01-01 03:00:00,03:00,0.14,0.0,2025-01-01 03:00:00,2025-01-01 03:00:00,03:00,2244.99,28440.66
2025-01-01 04:00:00,04:00,0.0,0.0,2025-01-01 04:00:00,2025-01-01 04:00:00,04:00,2400.01,27968.13
2025-01-01 05:00:00,05:00,0.0,0.0,2025-01-01 05:00:00,2025-01-01 05:00:00,05:00,2680.0,27831.32
2025-01-01 06:00:00,06:00,0.0,0.0,2025-01-01 06:00:00,2025-01-01 06:00:00,06:00,2989.99,28108.41
2025-01-01 07:00:00,07:00,0.0,0.0,2025-01-01 07:00:00,2025-01-01 07:00:00,07:00,2979.99,28558.86
2025-01-01 08:00:00,08:00,0.0,0.0,2025-01-01 08:00:00,2025-01-01 08:00:00,08:00,3000.0,28071.6
2025-01-01 09:00:00,09:00,0.09,0.0,2025-01-01 09:00:00,2025-01-01 09:00:00,09:00,2600.01,26394.42
2025-01-01 10:00:00,10:00,0.74,0.0,2025-01-01 10:00:00,2025-01-01 10:00:00,10:00,1350.0,24996.37
2025-01-01 11:00:00,11:00,2.28,0.0,2025-01-01 11:00:00,2025-01-01 11:00:00,11:00,1799.98,24405.35
2025-01-01 12:00:00,12:00,3.45,0.0,2025-01-01 12:00:00,2025-01-01 12:00:00,12:00,1000.0,24125.78
2025-01-01 13:00:00,13:00,7.19,0.0,2025-01-01 13:00:00,2025-01-01 13:00:00,13:00,1512.63,24481.23
2025-01-01 14:00:00,14:00,7.34,0.0,2025-01-01 14:00:00,2025-01-01 14:00:00,14:00,2005.01,25720.29
2025-01-01 15:00:00,15:00,6.22,0.0,2025-01-01 15:00:00,2025-01-01 15:00:00,15:00,2283.04,28468.4
2025-01-01 16:00:00,16:00,4.12,0.0,2025-01-01 16:00:00,2025-01-01 16:00:00,16:00,3000.0,33180.39
2025-01-01 17:00:00,17:00,0.92,0.0,2025-01-01 17:00:00,2025-01-01 17:00:00,17:00,3000.0,37967.71
2025-01-01 18:00:00,18:00,0.0,0.0,2025-01-01 18:00:00,2025-01-01 18:00:00,18:00,3000.0,39965.09
2025-01-01 19:00:00,19:00,0.0,0.0,2025-01-01 19:00:00,2025-01-01 19:00:00,19:00,3000.0,39563.54
2025-01-01 20:00:00,20:00,0.0,0.0,2025-01-01 20:00:00,2025-01-01 20:00:00,20:00,3000.0,38864.23
2025-01-01 21:00:00,21:00,0.0,0.0,2025-01-01 21:00:00,2025-01-01 21:00:00,21:00,3000.0,38022.74
2025-01-01 22:00:00,22:00,0.0,0.0,2025-01-01 22:00:00,2025-01-01 22:00:00,22:00,2399.99,36870.01
2025-01-01 23:00:00,23:00,5.42,0.0,2025-01-01 23:00:00,2025-01-01 23:00:00,23:00,2274.0,35335.33
2025-01-02 00:00:00,00:00,15.14,0.0,2025-01-02 00:00:00,2025-01-02 00:00:00,00:00,2634.45,33539.11
2025-01-02 01:00:00,01:00,12.0,0.0,2025-01-02 01:00:00,2025-01-02 01:00:00,01:00,2583.43,31750.96
2025-01-02 02:00:00,02:00,16.26,0.0,2025-01-02 02:00:00,2025-01-02 02:00:00,02:00,2144.99,30537.37
2025-01-02 03:00:00,03:00,17.39,0.0,2025-01-02 03:00:00,2025-01-02 03:00:00,03:00,2112.78,30001.24
2025-01-02 04:00:00,04:00,22.62,0.0,2025-01-02 04:00:00,2025-01-02 04:00:00,04:00,1799.98,29976.57
2025-01-02 05:00:00,05:00,26.24,0.0,2025-01-02 05:00:00,2025-01-02 05:00:00,05:00,1889.99,30325.9
2025-01-02 06:00:00,06:00,33.35,0.0,2025-01-02 06:00:00,2025-01-02 06:00:00,06:00,2482.22,31769.72
2025-01-02 07:00:00,07:00,37.1,0.0,2025-01-02 07:00:00,2025-01-02 07:00:00,07:00,2900.01,35340.97
2025-01-02 08:00:00,08:00,37.47,0.0,2025-01-02 08:00:00,2025-01-02 08:00:00,08:00,3000.0,40790.56
2025-01-02 09:00:00,09:00,39.21,0.0,2025-01-02 09:00:00,2025-01-02 09:00:00,09:00,3000.0,41072.25
2025-01-02 10:00:00,10:00,34.92,0.0,2025-01-02 10:00:00,2025-01-02 10:00:00,10:00,2594.58,38689.63
2025-01-02 11:00:00,11:00,32.86,0.0,2025-01-02 11:00:00,2025-01-02 11:00:00,11:00,2505.65,37022.14
2025-01-02 12:00:00,12:00,29.91,0.0,2025-01-02 12:00:00,2025-01-02 12:00:00,12:00,1999.99,34459.2
2025-01-02 13:00:00,13:00,26.84,0.0,2025-01-02 13:00:00,2025-01-02 13:00:00,13:00,2112.78,34833.74
2025-01-02 14:00:00,14:00,24.21,0.0,2025-01-02 14:00:00,2025-01-02 14:00:00,14:00,2594.0,36746.9
2025-01-02 15:00:00,15:00,32.56,0.0,2025-01-02 15:00:00,2025-01-02 15:00:00,15:00,2728.85,38919.93
2025-01-02 16:00:00,16:00,38.79,0.0,2025-01-02 16:00:00,2025-01-02 16:00:00,16:00,3000.0,43199.06
2025-01-02 17:00:00,17:00,60.54,0.0,2025-01-02 17:00:00,2025-01-02 17:00:00,17:00,3000.0,46660.51
2025-01-02 18:00:00,18:00,49.81,0.0,2025-01-02 18:00:00,2025-01-02 18:00:00,18:00,3000.0,46158.95
2025-01-02 19:00:00,19:00,41.39,0.0,2025-01-02 19:00:00,2025-01-02 19:00:00,19:00,2949.99,44962.96
2025-01-02 20:00:00,20:00,48.61,0.0,2025-01-02 20:00:00,2025-01-02 20:00:00,20:00,2777.77,43481.54
2025-01-02 21:00:00,21:00,54.12,0.0,2025-01-02 21:00:00,2025-01-02 21:00:00,21:00,2749.8,42383.97
2025-01-02 22:00:00,22:00,64.96,0.0,2025-01-02 22:00:00,2025-01-02 22:00:00,22:00,2266.73,40859.55
2025-01-02 23:00:00,23:00,57.29,0.0,2025-01-02 23:00:00,2025-01-02 23:00:00,23:00,2294.0,38865.26
2025-01-03 00:00:00,00:00,50.05,0.0,2025-01-03 00:00:00,2025-01-03 00:00:00,00:00,2706.39,36373.12
2025-01-03 01:00:00,01:00,53.23,0.0,2025-01-03 01:00:00,2025-01-03 01:00:00,01:00,2549.98,34437.12
2025-01-03 02:00:00,02:00,73.66,0.0,2025-01-03 02:00:00,2025-01-03 02:00:00,02:00,2400.0,33068.92
2025-01-03 03:00:00,03:00,73.42,0.0,2025-01-03 03:00:00,2025-01-03 03:00:00,03:00,1923.11,32197.56
2025-01-03 04:00:00,04:00,70.9,0.0,2025-01-03 04:00:00,2025-01-03 04:00:00,04:00,1799.98,32096.36
2025-01-03 05:00:00,05:00,67.39,0.0,2025-01-03 05:00:00,2025-01-03 05:00:00,05:00,1957.64,32442.54
2025-01-03 06:00:00,06:00,60.63,0.0,2025-01-03 06:00:00,2025-01-03 06:00:00,06:00,2200.01,33644.09
2025-01-03 07:00:00,07:00,74.21,0.0,2025-01-03 07:00:00,2025-01-03 07:00:00,07:00,2524.99,36885.32
2025-01-03 08:00:00,08:00,77.38,0.0,2025-01-03 08:00:00,2025-01-03 08:00:00,08:00,3000.0,41756.29
2025-01-03 09:00:00,09:00,80.17,0.0,2025-01-03 09:00:00,2025-01-03 09:00:00,09:00,3000.0,42404.92
